"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description",
0,"Anesbi"," (1","45)",5," Fat Insects"," Communist"," This world is a tedious little planet. ","#VALUE!"
1,"Iseror"," (204","230)",3," Human Colonials"," Dictatorship"," The world Iseror is notable for its weird tropical forests and Iserorian Onenst brandy. ",
2,"Ererso"," (38","249)",12," Human Colonials"," Corporate State"," This planet is a dull place. ",
3,"Leatanre"," (168","103)",1," Human Colonials"," Feudal"," The world Leatanre is most well known for its vast dense forests. ",
4,"Tebienla"," (206","59)",7," Human Colonials"," Feudal"," This planet is beset by dreadful earthquakes. ",
5,"Revequ"," (85","146)",6," Frogs"," Anarchy"," Revequ is cursed by dreadful civil war. ",
6,"Eresorbe"," (95","218)",10," Human Colonials"," Communist"," The planet Eresorbe is famous for Eresorbeian shrew steak but ravaged by occasional solar activity. ",
7,"Vegedius"," (147","121)",12," Red Horned Birds"," Democracy"," This planet is very well known for Vegediusian wolf meat and its weird volcanoes. ",
8,"Querbeis"," (136","13)",5," Human Colonials"," Democracy"," The planet Querbeis is a boring world. ",
9,"Leater"," (29","211)",8," Human Colonials"," Confederacy"," The world Leater is very famous for its hoopy night life but scourged by killer mountain monkeys. ",
10,"Bianbies"," (132","208)",6," Fierce Harmless Fat Felines"," Feudal"," Bianbies is well known for the Bianbiesian spotted leopard but ravaged by frequent earthquakes. ",
11,"Maana"," (201","38)",4," Human Colonials"," Dictatorship"," This planet is beset by deadly earthquakes. ",
12,"Biis"," (86","143)",4," Large Bug-Eyed Frogs"," Dictatorship"," Biis is ravaged by unpredictable solar activity. ",
13,"Usmaedin"," (36","189)",3," Small Black Bug-Eyed Frogs"," Multi-Government"," This planet is a dull world. ",
14,"Erlabeor"," (12","24)",10," Black Fat Birds"," Democracy"," This planet is mildly noted for the Erlabeorian deadly Stoid but ravaged by lethal vicious ants. ",
15,"Xeerin"," (153","83)",5," Large Harmless Horned Birds"," Anarchy"," The planet Xeerin is a n unremarkable dump. ",
16,"Teescear"," (255","204)",4," Yellow Bony Lobsters"," Anarchy"," The planet Teescear is reasonably fabled for Teescearian evil juice and Teescearian evil brandy. ",
17,"Oresreat"," (10","133)",8," Human Colonials"," Corporate State"," This planet is a dull world. ",
18,"Esusge"," (17","14)",4," Human Colonials"," Dictatorship"," The world Esusge is beset by a lethal disease. ",
19,"Lequatdi"," (245","3)",8," Large Black Insects"," Confederacy"," The world Lequatdi is scourged by deadly edible arts graduates. ",
20,"Oredrier"," (237","241)",10," Human Colonials"," Confederacy"," The planet Oredrier is most famous for its pink Oredrierian Ce Ceweed plantations and its exciting sit coms. ",
21,"Soladiar"," (16","126)",3," Human Colonials"," Communist"," This world is a tedious little planet. ",
22,"Inzaan"," (74","45)",2," Insects"," Anarchy"," Inzaan is most noted for the Inzaanian evil poet and Inzaanian Nu brandy. ",
