"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description",
0,"Dizaen"," (128","150)",2," Insects"," Multi-Government"," The world Dizaen is a boring world. ","#VALUE!"
1,"Anenen"," (100","114)",8," Frogs"," Confederacy"," The planet Anenen is well known for its inhabitants' weird silliness but cursed by dreadful solar activity. ",
2,"Ceor"," (128","242)",9," Fierce Red Horned Lobsters"," Corporate State"," This planet is noted for Zero-G cricket. ",
3,"Ededer"," (255","64)",12," Insects"," Communist"," This world is a tedious place. ",
4,"Artesore"," (225","240)",6," Human Colonials"," Anarchy"," This planet is most fabled for mud hockey but ravaged by occasional earthquakes. ",
5,"Enususge"," (46","135)",6," Human Colonials"," Corporate State"," This planet is a dull world. ",
6,"Raedre"," (99","200)",13," Yellow Bony Lobsters"," Confederacy"," This planet is noted for Zero-G cricket. ",
7,"Sorezaan"," (14","56)",12," Fierce Frogs"," Democracy"," This world is a tedious little planet. ",
8,"Aaored"," (187","228)",9," Human Colonials"," Democracy"," The world Aaored is most famous for the Aaoredian deadly monkey. ",
9,"Lebedixe"," (184","185)",5," Large Bug-Eyed Lizards"," Feudal"," The world Lebedixe is reasonably noted for its inhabitants' eccentric love for tourists. ",
10,"Gebequat"," (162","173)",6," Large Black Lizards"," Dictatorship"," Gebequat is famous for Gebequatian wolf cutlet but plagued by frequent earthquakes. ",
11,"Onaran"," (81","250)",6," Human Colonials"," Anarchy"," The world Onaran is very noted for its ancient mountains but plagued by a vicious disease. ",
12,"Inre"," (101","219)",7," Human Colonials"," Communist"," Inre is ravaged by unpredictable civil war. ",
13,"Eszausve"," (154","0)",11," Human Colonials"," Dictatorship"," Eszausve is famous for its inhabitants' ancient loathing of discos but ravaged by lethal spotted craboids. ",
14,"Gexean"," (246","72)",8," Human Colonials"," Feudal"," The planet Gexean is reasonably noted for mud tennis and its ancient mountains. ",
15,"Onteised"," (1","251)",6," Human Colonials"," Multi-Government"," This planet is mildly noted for its ancient mountains but plagued by a lethal disease. ",
16,"Enusbe"," (120","61)",3," Human Colonials"," Multi-Government"," This planet is very notable for the Enusbeian tree snake and its unusual casinos. ",
17,"Esarxeve"," (45","211)",8," Small Green Insects"," Confederacy"," The planet Esarxeve is reasonably fabled for mud tennis and its ancient mountains. ",
18,"Geteve"," (86","66)",11," Human Colonials"," Corporate State"," This world is mildly famous for its hoopy casinos and its hoopy casinos. ",
19,"Sobeer"," (21","54)",4," Fierce Black Bony Felines"," Communist"," This planet is mildly fabled for the Sobeerian mountain slug but cursed by occasional earthquakes. ",
20,"Erdiares"," (204","112)",5," Green Fat Birds"," Anarchy"," This world is most fabled for Erdiaresian evil juice but cursed by dreadful solar activity. ",
21,"Xevexean"," (137","42)",10," Human Colonials"," Corporate State"," The world Xevexean is reasonably famous for the Xevexeanian evil talking treeoid. ",
22,"Raatbi"," (251","66)",11," Human Colonials"," Confederacy"," This world is a revolting little planet. ",
23,"Edoned"," (70","32)",12," Black Felines"," Democracy"," This world is very fabled for its unusual oceans. ",
24,"Tiarice"," (120","223)",3," Yellow Lizards"," Democracy"," This world is very notable for its inhabitants' weird shyness and its inhabitants' ingrained shyness. ",
