"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description",
0,"Riave"," (8","105)",8," Human Colonials"," Communist"," This world is a revolting little planet. ","#VALUE!"
1,"Esgeer"," (99","54)",7," Small Furry Felines"," Confederacy"," The planet Esgeer is famous for Esgeerian shrew steak but ravaged by occasional solar activity. ",
2,"Enerza"," (61","208)",10," Human Colonials"," Dictatorship"," This world is noted for Zero-G hockey. ",
3,"Laarzace"," (164","112)",5," Harmless Fat Humanoids"," Anarchy"," The planet Laarzace is a boring world. ",
4,"Raried"," (165","36)",7," Black Bug-Eyed Frogs"," Democracy"," The planet Raried is a n unremarkable dump. ",
5,"Lezaer"," (138","152)",13," Human Colonials"," Corporate State"," Lezaer is cursed by vicious vicious shrews. ",
6,"Mabelala"," (214","176)",12," Small Red Frogs"," Confederacy"," Mabelala is a revolting little planet. ",
7,"Riarribi"," (149","181)",4," Slimy Lizards"," Multi-Government"," The world Riarribi is reasonably noted for its exotic fish meat. ",
8,"Rebees"," (38","222)",3," Yellow Slimy Lizards"," Anarchy"," The world Rebees is very famous for its fabulous goat burgers but plagued by unpredictable civil war. ",
9,"Usteer"," (107","201)",8," Human Colonials"," Feudal"," This world is mildly famous for its vast rain forests and its great dense forests. ",
10,"Gearzaen"," (245","176)",12," Large Blue Furry Rodents"," Corporate State"," The planet Gearzaen is reasonably noted for its exotic fish meat and its exciting sit coms. ",
11,"Vees"," (210","100)",7," Large Yellow Felines"," Communist"," Vees is a revolting dump. ",
12,"Lemadior"," (64","137)",7," Human Colonials"," Multi-Government"," The world Lemadior is mildly fabled for the Lemadiorian mountain Atetoid but ravaged by a vicious disease. ",
13,"Enedza"," (217","141)",5," Human Colonials"," Dictatorship"," The planet Enedza is most well known for its vast dense forests. ",
14,"Dileon"," (111","36)",5," Human Colonials"," Feudal"," This world is very well known for Dileonian lethal water and the Dileonian tree wolf. ",
15,"Aisqu"," (78","223)",5," Human Colonials"," Democracy"," The world Aisqu is a boring planet. ",
16,"Onleuses"," (103","218)",10," Human Colonials"," Communist"," Onleuses is ravaged by occasional solar activity. ",
17,"Bezaed"," (105","232)",11," Human Colonials"," Confederacy"," This planet is reasonably famous for the Bezaedian spotted leopard. ",
18,"Islama"," (216","32)",9," Human Colonials"," Dictatorship"," The planet Islama is most famous for the Islamaian spotted shrew. ",
19,"Onusbi"," (190","203)",6," Human Colonials"," Anarchy"," This planet is plagued by deadly earthquakes. ",
20,"Isenrire"," (206","70)",6," Black Slimy Frogs"," Democracy"," The world Isenrire is reasonably noted for its inhabitants' eccentric love for poetry and its inhabitants' weird shyness. ",
21,"Rimaedxe"," (110","30)",7," Red Slimy Lizards"," Corporate State"," This planet is reasonably noted for its exotic fish meat. ",
22,"Bixein"," (130","120)",12," Fierce Horned Birds"," Confederacy"," The planet Bixein is a n unremarkable dump. ",
23,"Zabion"," (149","12)",5," Human Colonials"," Multi-Government"," This world is ravaged by dreadful civil war. ",
24,"Aorbete"," (106","255)",2," Blue Furry Rodents"," Anarchy"," This world is very notable for its inhabitants' weird silliness and its inhabitants' ingrained silliness. ",
25,"Esorza"," (252","179)",5," Small Black Rodents"," Feudal"," The world Esorza is beset by a evil disease. ",
