"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description",
0,"Isrema"," (16","210)",5," Harmless Horned Lobsters"," Anarchy"," This world is a tedious place. ","#VALUE!"
1,"Qubeor"," (203","110)",5," Human Colonials"," Multi-Government"," This planet is beset by a lethal disease. ",
2,"Lavebe"," (167","185)",12," Human Colonials"," Democracy"," Lavebe is famous for its inhabitants' ancient loathing of casinos but plagued by occasional solar activity. ",
3,"Arriesen"," (64","243)",4," Small Green Bony Humanoids"," Anarchy"," The planet Arriesen is scourged by deadly edible arts graduates. ",
4,"Qulaxe"," (210","137)",10," Human Colonials"," Communist"," The world Qulaxe is reasonably noted for its inhabitants' eccentric shyness and its inhabitants' ingrained silliness. ",
5,"Esisor"," (241","98)",9," Small Yellow Bony Birds"," Democracy"," The planet Esisor is most well known for its hoopy casinos. ",
6,"Edbedi"," (193","217)",8," Red Slimy Rodents"," Multi-Government"," This world is reasonably well known for its vast rain forests but beset by a lethal disease. ",
7,"Teceteis"," (218","205)",6," Human Colonials"," Communist"," The planet Teceteis is most famous for the Teceteisian spotted shrew. ",
8,"Riedra"," (29","124)",2," Harmless Bug-Eyed Lobsters"," Anarchy"," This world is a revolting dump. ",
9,"Tiveorso"," (75","52)",7," Lizards"," Multi-Government"," Tiveorso is ravaged by unpredictable solar activity. ",
10,"Edorqu"," (167","121)",12," Human Colonials"," Democracy"," Edorqu is famous for Edorquian wolf cutlet but beset by evil spotted cats. ",
11,"Bien"," (204","186)",5," Human Colonials"," Anarchy"," This world is reasonably notable for its weird tropical forests but scourged by frequent civil war. ",
12,"Beoninon"," (89","146)",8," Human Colonials"," Communist"," This world is very well known for vicious Enoube brew and Beoninonian shrew steak. ",
13,"Mavelege"," (127","108)",9," Human Colonials"," Democracy"," This world is plagued by frequent earthquakes. ",
14,"Ante"," (3","65)",10," Black Horned Humanoids"," Multi-Government"," This planet is mildly noted for its ancient Anteian Enxeleer tulip plantations but cursed by dreadful civil war. ",
15,"Isanla"," (252","128)",9," Yellow Fat Humanoids"," Communist"," The planet Isanla is reasonably fabled for Zero-G cricket and Isanlaian lethal brandy. ",
16,"Onzaenve"," (110","53)",2," Blue Bony Felines"," Anarchy"," This world is mildly famous for its hoopy casinos and its vast oceans. ",
17,"Dilaor"," (182","18)",8," Human Colonials"," Multi-Government"," This planet is notable for the Dilaorian tree snake and Dilaorian shrew steak. ",
18,"Mausra"," (252","89)",9," Human Colonials"," Democracy"," Mausra is very fabled for its ancient mountains. ",
19,"Isquinza"," (212","104)",5," Black Fat Humanoids"," Anarchy"," The world Isquinza is reasonably noted for Zero-G hockey and its inhabitants' eccentric shyness. ",
20,"Inisre"," (196","76)",5," Human Colonials"," Communist"," This planet is beset by dreadful earthquakes. ",
21,"Zamaes"," (152","174)",4," Fierce Yellow Felines"," Democracy"," This world is plagued by frequent earthquakes. ",
22,"Reatqu"," (57","105)",8," Red Slimy Lizards"," Multi-Government"," The world Reatqu is very famous for its fabulous monkey burgers but beset by deadly solar activity. ",
23,"Soisonza"," (59","58)",10," Human Colonials"," Communist"," The world Soisonza is mildly noted for the Soisonzaian mountain lobstoid but beset by deadly earthquakes. ",
24,"Zaus"," (68","63)",0," Large Yellow Bony Lobsters"," Anarchy"," The world Zaus is mildly fabled for the Zausian edible moth but beset by a lethal disease. ",
25,"Querorza"," (77","72)",9," Yellow Furry Insects"," Multi-Government"," This planet is a tedious place. ",
26,"Remari"," (228","153)",9," Human Colonials"," Democracy"," The planet Remari is most famous for the Remariian evil Ernolooid and its inhabitants' exceptional loathing of food blenders. ",
27,"Gequve"," (152","62)",1," Human Colonials"," Anarchy"," The planet Gequve is a boring world. ",
28,"Ceausis"," (84","246)",3," Human Colonials"," Communist"," The planet Ceausis is cursed by killer edible talking treeoids. ",
29,"Veteerza"," (125","104)",11," Human Colonials"," Democracy"," The world Veteerza is reasonably famous for the Veteerzaian evil Usa'geoid. ",
30,"Atbitela"," (164","144)",8," Red Fat Humanoids"," Multi-Government"," This world is plagued by frequent earthquakes. ",
31,"Edmaor"," (213","60)",6," Blue Bug-Eyed Frogs"," Communist"," The planet Edmaor is most well known for its vast dense forests. ",
32,"Leedtier"," (221","217)",5," Large Yellow Fat Humanoids"," Anarchy"," Leedtier is a n unremarkable planet. ",
33,"Soed"," (80","23)",1," Human Colonials"," Multi-Government"," This planet is reasonably famous for the Soedian evil talking treeoid. ",
34,"Lequteor"," (160","120)",10," Human Colonials"," Democracy"," The world Lequteor is reasonably famous for its inhabitants' ancient mating traditions. ",
35,"Erbierso"," (89","124)",2," Furry Humanoids"," Anarchy"," Erbierso is cursed by deadly civil war. ",
36,"Rilaan"," (71","208)",12," Human Colonials"," Communist"," Rilaan is mildly famous for its hoopy casinos and its great dense forests. ",
37,"Onesed"," (110","219)",9," Green Furry Rodents"," Democracy"," The world Onesed is a dull place. ",
38,"Zaonbi"," (130","248)",10," Fierce Horned Lizards"," Multi-Government"," The world Zaonbi is a boring world. ",
39,"Encegequ"," (11","198)",6," Human Colonials"," Communist"," The planet Encegequ is most noted for the Encegequian evil talking treeoid and its inhabitants' ingrained shyness. ",
40,"Xeis"," (122","67)",6," Large Bug-Eyed Lobsters"," Anarchy"," The planet Xeis is famous for Xeisian wolf meat but beset by frequent civil war. ",
41,"Isqueder"," (0","189)",3," Red Furry Felines"," Multi-Government"," The planet Isqueder is most famous for its pink Ou plant plantations and its unusual dense forests. ",
42,"Zadige"," (112","56)",10," Human Colonials"," Democracy"," Zadige is cursed by dreadful civil war. ",
43,"Birior"," (85","99)",5," Human Colonials"," Anarchy"," The planet Birior is very famous for its exotic fish meat but beset by frequent civil war. ",
44,"Tiacein"," (222","25)",10," Human Colonials"," Communist"," The world Tiacein is beset by a evil disease. ",
45,"Leenra"," (172","69)",5," Human Colonials"," Democracy"," The planet Leenra is a boring world. ",
46,"Soteoris"," (20","224)",8," Fierce Black Fat Insects"," Multi-Government"," This planet is mildly noted for the Soteorisian mountain Stoid but plagued by lethal spotted craboids. ",
47,"Bemate"," (29","25)",9," Harmless Fat Insects"," Communist"," This world is a tedious little planet. ",
48,"Geteanan"," (91","188)",4," Large Green Lizards"," Anarchy"," The planet Geteanan is very noted for its unusual sit coms but ravaged by unpredictable civil war. ",
49,"Beesed"," (155","123)",8," Human Colonials"," Multi-Government"," This world is plagued by deadly earthquakes. ",
50,"Tizaatdi"," (149","24)",11," Human Colonials"," Democracy"," The world Tizaatdi is reasonably noted for its inhabitants' exceptional love for food blenders. ",
51,"Gexebeor"," (205","49)",5," Large Harmless Fat Insects"," Anarchy"," The world Gexebeor is reasonably noted for its fabulous goat burgers and its inhabitants' exceptional loathing of casinos. ",
52,"Erisso"," (89","19)",7," Human Colonials"," Communist"," The world Erisso is very noted for its ancient A' tulip plantations but ravaged by unpredictable solar activity. ",
53,"Qutius"," (117","231)",4," Horned Birds"," Democracy"," The planet Qutius is very noted for its exciting sit coms but ravaged by vicious mountain goats. ",
54,"Quisbe"," (154","136)",10," Yellow Horned Birds"," Multi-Government"," This world is ravaged by dreadful civil war. ",
55,"Isisbile"," (76","115)",6," Human Colonials"," Communist"," The world Isisbile is a boring world. ",
56,"Zainat"," (193","134)",2," Fierce Yellow Insects"," Anarchy"," Zainat is reasonably well known for the Zainatian spotted cat but ravaged by occasional earthquakes. ",
57,"Raeddi"," (98","145)",9," Large Black Bony Lobsters"," Multi-Government"," This world is very well known for its inhabitants' unusual mating traditions and its vast rain forests. ",
58,"Quonso"," (77","88)",11," Human Colonials"," Democracy"," The world Quonso is very noted for its exciting sit coms but ravaged by vicious mountain beasts. ",
59,"Esenis"," (1","39)",1," Human Colonials"," Anarchy"," This world is a revolting little planet. ",
60,"Esonlear"," (249","253)",5," Human Colonials"," Communist"," Esonlear is a revolting dump. ",
61,"Inedala"," (10","1)",11," Human Colonials"," Democracy"," Inedala is mildly notable for its inhabitants' unusual silliness. ",
62,"Isxelave"," (85","47)",2," Black Horned Lobsters"," Multi-Government"," This world is mildly well known for Isxelaveian shrew cutlet and the Isxelaveian edible moth. ",
63,"Rean"," (214","21)",6," Green Bony Humanoids"," Communist"," This world is reasonably notable for its exotic night life but cursed by deadly civil war. ",
64,"Ceerla"," (234","224)",7," Fierce Horned Lobsters"," Anarchy"," This planet is mildly noted for its ancient mountains but plagued by deadly earthquakes. ",
65,"Bianti"," (149","64)",9," Human Colonials"," Multi-Government"," This world is ravaged by dreadful civil war. ",
66,"Diriceen"," (217","55)",4," Human Colonials"," Democracy"," Diriceen is a n unremarkable planet. ",
67,"Veretite"," (50","133)",2," Green Frogs"," Anarchy"," The planet Veretite is cursed by killer mountain monkeys. ",
68,"Xelara"," (252","23)",2," Human Colonials"," Communist"," This world is a tedious place. ",
69,"Lalati"," (171","212)",9," Blue Rodents"," Democracy"," Lalati is a revolting little planet. ",
