"Planet #","Name","X","Y","Tech Level","Inhabitants","Government","Description",
0,"Veleeder"," (64","75)",5," Human Colonials"," Feudal"," The planet Veleeder is cursed by deadly civil war. ","#VALUE!"
1,"Arendi"," (48","184)",8," Human Colonials"," Multi-Government"," This planet is most fabled for its inhabitants' ingrained silliness but beset by a lethal disease. ",
2,"Arxetige"," (170","237)",6," Human Colonials"," Dictatorship"," The world Arxetige is fabled for its exciting lethal Es water and the Arxetigeian spotted shrew. ",
3,"Tetied"," (131","23)",6," Green Fat Birds"," Democracy"," This planet is reasonably noted for its exotic fish meat. ",
4,"Telear"," (44","88)",5," Red Fat Birds"," Anarchy"," The world Telear is scourged by a evil disease. ",
5,"Laesusso"," (41","42)",8," Green Bony Birds"," Dictatorship"," The planet Laesusso is cursed by dreadful civil war. ",
6,"Oresmaa"," (39","168)",13," Red Rodents"," Democracy"," The planet Oresmaa is scourged by a deadly disease. ",
7,"Zarienla"," (175","107)",9," Human Colonials"," Dictatorship"," This world is plagued by frequent solar activity. ",
8,"Soamaxe"," (117","18)",10," Human Colonials"," Corporate State"," The planet Soamaxe is famous for its inhabitants' exceptional loathing of sit coms but cursed by a deadly disease. ",
9,"Ismaarbe"," (162","139)",8," Human Colonials"," Communist"," Ismaarbe is famous for its inhabitants' ancient loathing of casinos but plagued by frequent earthquakes. ",
10,"Essoza"," (243","202)",9," Human Colonials"," Feudal"," The planet Essoza is reasonably noted for mud tennis and the Essozaian mountain lobstoid. ",
11,"Eddi"," (20","132)",1," Human Colonials"," Anarchy"," This world is a tedious little planet. ",
12,"Dixetiso"," (70","45)",7," Bony Birds"," Democracy"," Dixetiso is most famous for the Dixetisoian deadly monkey and its exotic cuisine. ",
13,"Leonus"," (103","87)",6," Human Colonials"," Confederacy"," The world Leonus is a boring planet. ",
14,"Atxeteer"," (233","40)",10," Human Colonials"," Communist"," This planet is mildly fabled for the Atxeteerian edible poet but scourged by frequent civil war. ",
15,"Erisriin"," (80","156)",6," Human Colonials"," Confederacy"," Erisriin is ravaged by unpredictable civil war. ",
